group,tile,cell_id,nuclei_in_cell,cell_class,cell_center_row,cell_center_col,R_px,r_perinuclear_px,mean_norm_radius_LysosomeA,mean_norm_radius_LysosomeB,perinuclear_fraction_LysosomeA,perinuclear_fraction_LysosomeB,cv_intensity_LysosomeA,cv_intensity_LysosomeB,radial_coupling_LysosomeA_vs_LysosomeB
treated,tile_019_y576_x768_C4.tif,1,3,multi,73.10101220912031,153.50798288636128,55.23009713543565,13.807524283858912,0.7023499608039856,0.6848878264427185,0.06896766642617527,0.07839371505759384,0.4122208598635813,0.3598110085673595,0.21357063949108124
treated,tile_019_y576_x768_C4.tif,2,3,multi,158.9656021742823,30.00704943094955,61.21911946441565,15.304779866103912,0.9619374871253967,0.951875627040863,0.11784116632813281,0.10945721609873704,0.5569827591767865,0.4308043224982641,0.9172282814979553
treated,tile_019_y576_x768_C4.tif,3,2,multi,197.42193632795465,137.85848233754905,54.03275179726227,13.508187949315568,0.7132230997085571,0.7255170345306396,0.06686205622329282,0.05862383344484649,0.3598959780844519,0.3185737230983954,0.3296278715133667
treated,tile_020_y768_x0_C4.tif,1,1,mono,84.1341189674523,25.736026936026935,53.25543236957012,13.31385809239253,0.878447949886322,0.9118954539299011,0.06535587033193176,0.08143073857010116,0.5219980789906555,0.33999417059220655,-0.04284363612532616
treated,tile_020_y768_x0_C4.tif,2,1,mono,72.8675885584391,139.0399696912294,40.99216856687977,10.248042141719942,0.7654263377189636,0.7254374027252197,0.06277044890087413,0.07350183846079102,0.27812735118756976,0.38048511258499124,0.15164361894130707
treated,tile_020_y768_x0_C4.tif,3,1,mono,159.03552971576227,229.78143841515936,38.44777115428368,9.61194278857092,0.7519463300704956,0.7710811495780945,0.0739578421813216,0.07394100268247954,0.4673884741263263,0.35044001307931244,0.46339845657348633
treated,tile_020_y768_x0_C4.tif,4,1,mono,208.96784336144063,71.75618122052308,47.1933710020649,11.798342750516225,0.844447910785675,0.863064706325531,0.07533772748354912,0.0675223965439726,0.42050129748694304,0.29375072646591516,0.8410122990608215
treated,tile_021_y768_x192_C4.tif,1,1,mono,60.16881390593047,128.61952965235173,55.79489830592275,13.948724576480688,0.6510418057441711,0.6588581800460815,0.08554942179671951,0.07814940642319441,0.39302627403044244,0.3756136660954973,0.8824723362922668
treated,tile_021_y768_x192_C4.tif,3,3,multi,184.47040575753815,80.91326467303635,71.62763942207917,17.906909855519793,0.7375452518463135,0.7412834167480469,0.0843571264444955,0.09274445746316373,0.45390074042244427,0.3848027212029367,0.961951494216919
treated,tile_022_y768_x384_C4.tif,2,2,multi,149.4317764366308,211.4678562057203,49.256044753615285,12.314011188403821,0.6466875076293945,0.6984644532203674,0.08917601825186193,0.06754120354164299,0.5757092413580089,0.3260423292405555,0.7679322957992554
treated,tile_022_y768_x384_C4.tif,3,2,multi,161.5661736234802,85.01951521722296,64.11189863986002,16.027974659965004,0.6991673111915588,0.7574729323387146,0.07563095197212363,0.07436589169232252,0.37501511363060624,0.3223527566279649,0.6775947213172913
treated,tile_023_y768_x576_C4.tif,1,2,multi,46.055917327293315,195.89198754246885,47.41878350237349,11.854695875593373,0.7365204691886902,0.736838698387146,0.053417886819603744,0.05750675258563119,0.4389343712666847,0.28687920112062265,0.5026793479919434
treated,tile_023_y768_x576_C4.tif,2,2,multi,139.69960306209242,39.685568471789054,47.3852079239214,11.84630198098035,0.7377832531929016,0.7494019269943237,0.04720025589023525,0.06869683975646122,0.5447712344669512,0.30930850027724666,-0.469879150390625
treated,tile_023_y768_x576_C4.tif,3,2,multi,173.9421995783556,138.14704848910753,42.56547740118669,10.641369350296673,0.7120028138160706,0.7108729481697083,0.08135475842884794,0.07614868904060262,0.4254107745006146,0.30827300456889073,0.7715376615524292
treated,tile_023_y768_x576_C4.tif,4,1,mono,231.01744693224774,65.46845013085199,33.08576272510006,8.271440681275015,0.7665256261825562,0.7863271832466125,0.056073566518611756,0.052250932757713746,0.2933264371808265,0.2881336968881605,0.44122034311294556
